"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"TEX29",0.918395193786857,0.601410239848991,0.220829181702657,2967.33333333333,2946.38095238095,0.00708606050688344
"TF",0.117020350119961,0.34302792198206,0.464670527568936,198477.761904762,235335.761904762,-0.170336205335657
"TFAM",0.356004546284617,0.444908805167579,0.351728999066856,52400.8571428571,46969.2380952381,0.109430070067489
"TFF1",0.985196381706872,0.618389374896279,0.208737981029508,3013.80952380952,2735.57142857143,0.0968645551770743
"TFF2",0.429791641688388,0.466234265948081,0.331395811112962,9105.61904761905,10634.1904761905,-0.155182626197893
"TFF3",0.310681836183469,0.425330089573118,0.371273892448627,6349,6255.97619047619,0.0147601228227194
"TFIP11",0.0758959187653786,0.310347012954158,0.508152430281063,2150.71428571429,2364.09523809524,-0.0945953726962921
"TFPI",0.117461161633299,0.34302792198206,0.464670527568936,57372.5714285714,48915.380952381,0.159474453515192
"TFPI2",0.512594126518142,0.491537513735918,0.308443331571841,1487.47619047619,1045.52380952381,0.352562838942763
"TFR2",0.839154630961077,0.583762194135573,0.233764034407882,962.619047619048,967.142857142857,-0.00468847249955916
"TFRC",0.182640177485153,0.372974730128036,0.428320591616835,7936.42857142857,9469.61904761905,-0.176625307124034
"TG",0.605463504061001,0.519416756752263,0.284484043833296,1381.66666666667,1139.61904761905,0.192596462114786
"TGFB1",0.312368156133839,0.426114722157679,0.370473460773991,4026.57142857143,3779.28571428571,0.0633802244132243
"TGFB2",0.720205462289277,0.551704214887324,0.258293698124344,650.428571428571,652.095238095238,-0.00255913567811636
"TGFB3",0.886950378950027,0.593982543057134,0.226226318596861,590.333333333333,605.666666666667,-0.0256424306133376
"TGFBI",0.536528852716503,0.498529488930844,0.302309147279787,30357.0952380952,31651.380952381,-0.0417515089446209
"TGFBR2",0.157129661672278,0.366565332381795,0.43584861047914,2968.7619047619,2153.19047619048,0.32119431421859
"TGFBR3",0.516108111202958,0.492943714549552,0.307202666637679,21799.7142857143,23210.1428571429,-0.0626925117006005
"TGIF2",0.250047073767173,0.405721047912656,0.391772461471886,376.142857142857,546.047619047619,-0.372737175873885
"TGM1",0.415754971954175,0.463930950674676,0.333546653006487,440.666666666667,447.571428571429,-0.0155474101533565
"TGM2",0.797157133649201,0.573118995237552,0.241755197212919,1950.19047619048,2086.47619047619,-0.0675495618550517
"TGM3",0.110624475657138,0.338663221176429,0.47023196517238,1022.42857142857,1918.95238095238,-0.629598652505004
"TGM4",0.0288929706743348,0.236889849718192,0.625453547575334,615.047619047619,848.619047619048,-0.321910684294934
"THBS1",0.262608804139593,0.409663453304007,0.387572778386043,4529.80952380952,3555.19047619048,0.242271249266472
"THBS2",0.565880606701972,0.508445434243281,0.293755648205539,7252.2619047619,9145.92857142857,-0.231995408317478
"THBS3",0.197283536084092,0.379583938598484,0.420692172234268,4382.33333333333,5125.47619047619,-0.15664212887663
"THBS4",0.813926687078961,0.578029002828219,0.238050370139591,18712.619047619,20564.2380952381,-0.0943554407256221
"THG1L",0.447702267951261,0.469791476508879,0.32809486695122,14375.6666666667,13076.5714285714,0.0947147739487776
"THOC1",0.32324657360309,0.432150930803471,0.364364547242465,1795.47619047619,1710.47619047619,0.0484984682206115
"THPO",0.0519375435934541,0.284521664793673,0.545884658822105,849.642857142857,945.095238095238,-0.106469610347036
