"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"PUF60",0.00488795512155621,0.110665321014776,0.955988451853674,13047.2352941176,9697.09259259259,0.296750148609313
"PURA",0.135145632583247,0.299790820170099,0.523181669721591,7807.41176470588,6795.88888888889,0.138755654571319
"PURB",0.108796310311651,0.290858153351358,0.536318757528762,37471.8823529412,31862.5,0.162161078109008
"PUS1",0.545039744259608,0.484906623378821,0.314341883780478,600.294117647059,587.296296296296,0.0218902750024906
"PVR",0.899804284078075,0.594291842910218,0.226000230709976,1707.35294117647,2112.22222222222,-0.212796395636379
"PVRIG",0.39611259716147,0.424069226764659,0.372563241643568,3286.52941176471,3202.85185185185,0.0257905013249064
"PVRL1",0.727041014981722,0.546860578003987,0.262123382846642,1718.23529411765,1789.27777777778,-0.0405142899890467
"PVRL2",0.958810724060668,0.60745869011576,0.216483250675793,907.764705882353,904.388888888889,0.00372575581700368
"PVRL3",0.241862634800504,0.348565739648667,0.457715301714656,1133.05882352941,1180.01851851852,-0.0406092329317342
"PVRL4",0.574714112731944,0.495347553397783,0.30508997771729,552.235294117647,579.055555555556,-0.0474242109284595
"PXDN",0.373520796816145,0.413816512324365,0.383192183877441,3126.64705882353,2096.44444444444,0.399718415079381
"PXDNL",0.936171391454037,0.602770203652202,0.219848224023731,947.882352941176,972.685185185185,-0.0258300848680017
"PYCR1",0.394105942392989,0.423578106991327,0.373066494878457,773.529411764706,843.777777777778,-0.0869254699058338
"PYCR2",0.0190558320326753,0.185270202182328,0.732194424547336,3519.70588235294,3996.48148148148,-0.127036914419834
"PYDC1",0.199651570689976,0.329135990919327,0.482624625140974,771.117647058824,622.925925925926,0.213413339418489
"PYGL",0.460353668954832,0.449227196577395,0.347533959075877,33889.9411764706,30645.6851851852,0.100626374418202
"PYY",0.390868464518352,0.422481615088735,0.374192185268698,1383.41176470588,1268.11111111111,0.0870242621097645
"PZP",0.743160557829621,0.552541110324249,0.257635403936489,31558.8235294118,43548.3888888889,-0.322019490085054
"QDPR",0.0943506412066125,0.280012647086165,0.55282235281602,19100.5882352941,15931.3333333333,0.181431312299648
"QKI",0.124905013211567,0.295299369186499,0.529737480766433,333.647058823529,389.740740740741,-0.155398026580736
"QPCT",0.68898936247875,0.535498234197169,0.271241956913713,1377.35294117647,1458.96296296296,-0.057562385418425
"QPCTL",0.0627036753307729,0.251795819721567,0.598951484263607,6787.11764705882,5538.27777777778,0.203342769756579
"QPRT",0.35493541743489,0.404547506750931,0.393030471064531,450.235294117647,488.962962962963,-0.0825164243149555
"QRFP",0.254961030693624,0.356899233572246,0.447454384674493,1727.88235294118,1960.09259259259,-0.126095127969814
"QSOX2",0.126076962560009,0.295299369186499,0.529737480766433,1919.29411764706,2256.11111111111,-0.161685112419924
"RAB11A",0.0929251893497041,0.279413825785258,0.553752108194319,63209.6470588235,55737.2962962963,0.125807417590434
"RAB13",0.146058251050191,0.302773067776724,0.518882758749746,5341,6397.62962962963,-0.180514650033577
"RAB14",0.17843388449719,0.319241889668863,0.495880127163374,6702,5937.18518518519,0.121170842802541
"RAB17",0.481316727743009,0.458750954671084,0.338423018962301,8677.05882352941,9463.22222222222,-0.0867303144886642
"RAB18",0.740628089660706,0.551945921558661,0.258103471399746,10541.1176470588,10531.1111111111,0.00094973690867807
"RAB1A",0.0563366977522086,0.246796919974716,0.607660264599622,31696.2941176471,26465.3888888889,0.180361969581072
"RAB1B",0.273096087500384,0.365337289745331,0.43730599736348,19696.7058823529,18123.8888888889,0.0832205114886881
"RAB21",0.182292095268456,0.321623143788241,0.492652707256064,141837.764705882,132363.5,0.0691319766390353
"RAB22A",0.575695943942813,0.495755849348661,0.304732152917194,4872.47058823529,4663.2962962963,0.0438785583065113
"RAB26",0.41115171370117,0.429673331158456,0.366861601145402,3054.17647058824,3366.07407407407,-0.0972371135296721
"RAB27A",0.814676761262718,0.571229207656675,0.243189594649555,1364.23529411765,1422.68518518519,-0.0419520138891357
"RAB27B",0.0974819321114552,0.283949102577873,0.546759499567574,4539.88235294118,3324.68518518519,0.311526109790455
"RAB2A",0.0546692489081667,0.245456866536008,0.610024814218069,5218,4306.05555555556,0.192091885961596
