"proteinId","coefficient","pValue","fdr"
"LRRTM1",-2199.01512500697,0.026997355241101,0.0921851006755193
"LRRTM2",-647.795225828286,0.147748713076959,0.194074896714086
"LRRTM3",-68.5694612606906,0.862931494436454,0.487705032146
"LRRTM4",-1404.95622728491,0.123306744549576,0.178023618028597
"LRTM1",-299.596162817793,0.676970876443856,0.432004963067547
"LRTM2",-1210.89392726525,0.0448576871838196,0.114917536400135
"LSAMP",-1673.93678364145,0.0012052986948138,0.0295324765565227
"LSM1",830.749650651435,0.0433719032238534,0.113501213461151
"LSM4",-1642.86920810148,0.0194541918180292,0.0826128295622365
"LST1",1198.10750514964,8.84043123211793e-05,0.0136735103261028
"LTA",553.615979293293,0.434308176705169,0.343274460808881
"LTA4H",551.516809249889,0.302855197214501,0.283894944865357
"LTALTB",-955.247241411624,0.0647386547936108,0.132310439730223
"LTB4R",621.035158912164,0.011306764820282,0.0667806883679244
"LTBP4",81.7543507600145,0.810472619460988,0.474701373264989
"LTBR",-538.884715084566,0.0561665356203951,0.125805679475853
"LTF",-431.271917216142,0.145060610593223,0.19272567660035
"LUM",-1039.44709406157,0.0214841852874943,0.0859992223115874
"LY6G6C",576.417765296348,0.0799514183775884,0.145195482863849
"LY6G6D",-876.719440213327,0.225386203808025,0.245388637048126
"LY75",-738.08887482025,0.0347884440072851,0.102734790852294
"LY86",-179.311075854695,0.795194043548073,0.471370222300549
"LY9",-386.437336600258,0.278963570578243,0.271252164600136
"LYG1",-120.196211607693,0.579972706995807,0.40069002445305
"LYG2",463.750476903704,0.232908844847606,0.249517239449523
"LYN",508.395952460123,0.0513599354380675,0.122460760752755
"LYPD1",-1742.44578288322,0.125454368123212,0.179005963473701
"LYPD3",-548.481456542318,0.073409712380854,0.140105611656869
